CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, Calarasi, Anul 2015, Lei, 1435
TOTAL, Total, Calarasi, Anul 2016, Lei, 1624
TOTAL, Total, Calarasi, Anul 2017, Lei, 1940
TOTAL, Total, Dambovita, Anul 2008, Lei, 1184
TOTAL, Total, Dambovita, Anul 2009, Lei, 1232
TOTAL, Total, Dambovita, Anul 2010, Lei, 1262
TOTAL, Total, Dambovita, Anul 2011, Lei, 1254
TOTAL, Total, Dambovita, Anul 2012, Lei, 1323
TOTAL, Total, Dambovita, Anul 2013, Lei, 1412
TOTAL, Total, Dambovita, Anul 2014, Lei, 1488
TOTAL, Total, Dambovita, Anul 2015, Lei, 1570
TOTAL, Total, Dambovita, Anul 2016, Lei, 1736
TOTAL, Total, Dambovita, Anul 2017, Lei, 2000
TOTAL, Total, Giurgiu, Anul 2008, Lei, 1161
TOTAL, Total, Giurgiu, Anul 2009, Lei, 1265
TOTAL, Total, Giurgiu, Anul 2010, Lei, 1254
TOTAL, Total, Giurgiu, Anul 2011, Lei, 1236
TOTAL, Total, Giurgiu, Anul 2012, Lei, 1240
TOTAL, Total, Giurgiu, Anul 2013, Lei, 1332
TOTAL, Total, Giurgiu, Anul 2014, Lei, 1413
TOTAL, Total, Giurgiu, Anul 2015, Lei, 1546
TOTAL, Total, Giurgiu, Anul 2016, Lei, 1724
TOTAL, Total, Giurgiu, Anul 2017, Lei, 2018
TOTAL, Total, Ialomita, Anul 2008, Lei, 1087
TOTAL, Total, Ialomita, Anul 2009, Lei, 1131
TOTAL, Total, Ialomita, Anul 2010, Lei, 1134
TOTAL, Total, Ialomita, Anul 2011, Lei, 1161
TOTAL, Total, Ialomita, Anul 2012, Lei, 1212
TOTAL, Total, Ialomita, Anul 2013, Lei, 1239
TOTAL, Total, Ialomita, Anul 2014, Lei, 1362
TOTAL, Total, Ialomita, Anul 2015, Lei, 1446
TOTAL, Total, Ialomita, Anul 2016, Lei, 1579
TOTAL, Total, Ialomita, Anul 2017, Lei, 1890
TOTAL, Total, Prahova, Anul 2008, Lei, 1323
TOTAL, Total, Prahova, Anul 2009, Lei, 1403
TOTAL, Total, Prahova, Anul 2010, Lei, 1389
TOTAL, Total, Prahova, Anul 2011, Lei, 1400
TOTAL, Total, Prahova, Anul 2012, Lei, 1510
TOTAL, Total, Prahova, Anul 2013, Lei, 1542
TOTAL, Total, Prahova, Anul 2014, Lei, 1687
TOTAL, Total, Prahova, Anul 2015, Lei, 1832
TOTAL, Total, Prahova, Anul 2016, Lei, 1950
TOTAL, Total, Prahova, Anul 2017, Lei, 2235
