Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Sibiu, Anul 2004, Numar, 137
Sibiu, Anul 2005, Numar, 71
Sibiu, Anul 2006, Numar, 82
Sibiu, Anul 2007, Numar, 89
Sibiu, Anul 2008, Numar, 153
Sibiu, Anul 2009, Numar, 171
Sibiu, Anul 2010, Numar, 148
Sibiu, Anul 2011, Numar, 169
Sibiu, Anul 2012, Numar, 171
Sibiu, Anul 2013, Numar, 166
Sibiu, Anul 2014, Numar, 171
Sibiu, Anul 2015, Numar, 179
Sibiu, Anul 2016, Numar, 170
Sibiu, Anul 2017, Numar, 165
MACROREGIUNEA DOI, Anul 1992, Numar, 2114
MACROREGIUNEA DOI, Anul 1993, Numar, 2276
MACROREGIUNEA DOI, Anul 1994, Numar, 2200
MACROREGIUNEA DOI, Anul 1995, Numar, 2105
MACROREGIUNEA DOI, Anul 1996, Numar, 1830
MACROREGIUNEA DOI, Anul 1997, Numar, 1841
MACROREGIUNEA DOI, Anul 1998, Numar, 1469
MACROREGIUNEA DOI, Anul 1999, Numar, 1504
MACROREGIUNEA DOI, Anul 2000, Numar, 1933
MACROREGIUNEA DOI, Anul 2001, Numar, 1215
MACROREGIUNEA DOI, Anul 2002, Numar, 1084
MACROREGIUNEA DOI, Anul 2003, Numar, 1051
MACROREGIUNEA DOI, Anul 2004, Numar, 1326
MACROREGIUNEA DOI, Anul 2005, Numar, 823
MACROREGIUNEA DOI, Anul 2006, Numar, 888
MACROREGIUNEA DOI, Anul 2007, Numar, 945
MACROREGIUNEA DOI, Anul 2008, Numar, 1518
MACROREGIUNEA DOI, Anul 2009, Numar, 1651
MACROREGIUNEA DOI, Anul 2010, Numar, 1608
MACROREGIUNEA DOI, Anul 2011, Numar, 1691
MACROREGIUNEA DOI, Anul 2012, Numar, 1765
MACROREGIUNEA DOI, Anul 2013, Numar, 1763
MACROREGIUNEA DOI, Anul 2014, Numar, 1747
