Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1990, Numar spectacole, 40645
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1991, Numar spectacole, 26316
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1992, Numar spectacole, 21002
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1993, Numar spectacole, 19779
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1994, Numar spectacole, 16246
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1995, Numar spectacole, 12155
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1996, Numar spectacole, 11876
Cinematografe si instalatii cinematografice - total, Brasov, Anul 1997, Numar spectacole, 11922
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2002, Numar spectacole, 5189
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2003, Numar spectacole, 4190
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2004, Numar spectacole, 5471
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2005, Numar spectacole, 5472
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2006, Numar spectacole, 3492
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2007, Numar spectacole, 3601
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2008, Numar spectacole, 3650
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2009, Numar spectacole, 707
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2010, Numar spectacole, 5407
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2011, Numar spectacole, 5321
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2012, Numar spectacole, 5605
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2013, Numar spectacole, 5369
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2014, Numar spectacole, 5378
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2015, Numar spectacole, 17734
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2016, Numar spectacole, 18404
Cinematografe si instalatii cinematografice - total, Brasov, Anul 2017, Numar spectacole, 16164
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1990, Numar spectacole, 14465
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1991, Numar spectacole, 9610
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1992, Numar spectacole, 5810
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1993, Numar spectacole, 4034
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1994, Numar spectacole, 3155
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1995, Numar spectacole, 2559
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1996, Numar spectacole, 2421
Cinematografe si instalatii cinematografice - total, Covasna, Anul 1997, Numar spectacole, 2256
Cinematografe si instalatii cinematografice - total, Covasna, Anul 2002, Numar spectacole, 1907
Cinematografe si instalatii cinematografice - total, Covasna, Anul 2003, Numar spectacole, 1397
Cinematografe si instalatii cinematografice - total, Covasna, Anul 2004, Numar spectacole, 708
Cinematografe si instalatii cinematografice - total, Covasna, Anul 2005, Numar spectacole, 659
Cinematografe si instalatii cinematografice - total, Covasna, Anul 2006, Numar spectacole, 162
Cinematografe si instalatii cinematografice - total, Covasna, Anul 2017, Numar spectacole, 2165
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1990, Numar spectacole, 20836
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1991, Numar spectacole, 13699
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1992, Numar spectacole, 8378
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1993, Numar spectacole, 4132
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1994, Numar spectacole, 3368
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1995, Numar spectacole, 3073
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1996, Numar spectacole, 3052
Cinematografe si instalatii cinematografice - total, Harghita, Anul 1997, Numar spectacole, 3001
Cinematografe si instalatii cinematografice - total, Harghita, Anul 2002, Numar spectacole, 2665
Cinematografe si instalatii cinematografice - total, Harghita, Anul 2003, Numar spectacole, 1923
Cinematografe si instalatii cinematografice - total, Harghita, Anul 2004, Numar spectacole, 1030
Cinematografe si instalatii cinematografice - total, Harghita, Anul 2005, Numar spectacole, 951
Cinematografe si instalatii cinematografice - total, Harghita, Anul 2006, Numar spectacole, 484
Cinematografe si instalatii cinematografice - total, Mures, Anul 1990, Numar spectacole, 43709
