Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
MACROREGIUNEA DOI, Anul 2009, Numar, 203
MACROREGIUNEA DOI, Anul 2010, Numar, 198
MACROREGIUNEA DOI, Anul 2011, Numar, 201
MACROREGIUNEA DOI, Anul 2012, Numar, 192
MACROREGIUNEA DOI, Anul 2013, Numar, 203
MACROREGIUNEA DOI, Anul 2014, Numar, 201
MACROREGIUNEA DOI, Anul 2015, Numar, 197
MACROREGIUNEA DOI, Anul 2016, Numar, 200
MACROREGIUNEA DOI, Anul 2017, Numar, 201
Regiunea NORD-EST, Anul 1990, Numar, 87
Regiunea NORD-EST, Anul 1991, Numar, 87
Regiunea NORD-EST, Anul 1992, Numar, 90
Regiunea NORD-EST, Anul 1993, Numar, 90
Regiunea NORD-EST, Anul 1994, Numar, 91
Regiunea NORD-EST, Anul 1995, Numar, 91
Regiunea NORD-EST, Anul 1996, Numar, 97
Regiunea NORD-EST, Anul 1997, Numar, 107
Regiunea NORD-EST, Anul 1998, Numar, 109
Regiunea NORD-EST, Anul 1999, Numar, 107
Regiunea NORD-EST, Anul 2000, Numar, 104
Regiunea NORD-EST, Anul 2001, Numar, 108
Regiunea NORD-EST, Anul 2002, Numar, 112
Regiunea NORD-EST, Anul 2003, Numar, 115
Regiunea NORD-EST, Anul 2004, Numar, 117
Regiunea NORD-EST, Anul 2005, Numar, 125
Regiunea NORD-EST, Anul 2006, Numar, 124
Regiunea NORD-EST, Anul 2007, Numar, 129
Regiunea NORD-EST, Anul 2008, Numar, 126
Regiunea NORD-EST, Anul 2009, Numar, 127
Regiunea NORD-EST, Anul 2010, Numar, 124
Regiunea NORD-EST, Anul 2011, Numar, 126
Regiunea NORD-EST, Anul 2012, Numar, 118
Regiunea NORD-EST, Anul 2013, Numar, 124
Regiunea NORD-EST, Anul 2014, Numar, 126
Regiunea NORD-EST, Anul 2015, Numar, 127
Regiunea NORD-EST, Anul 2016, Numar, 128
Regiunea NORD-EST, Anul 2017, Numar, 127
Bacau, Anul 1990, Numar, 12
Bacau, Anul 1991, Numar, 13
Bacau, Anul 1992, Numar, 13
Bacau, Anul 1993, Numar, 12
Bacau, Anul 1994, Numar, 13
Bacau, Anul 1995, Numar, 13
Bacau, Anul 1996, Numar, 14
Bacau, Anul 1997, Numar, 15
Bacau, Anul 1998, Numar, 15
Bacau, Anul 1999, Numar, 13
Bacau, Anul 2000, Numar, 13
Bacau, Anul 2001, Numar, 13
Bacau, Anul 2002, Numar, 14
Bacau, Anul 2003, Numar, 15
Bacau, Anul 2004, Numar, 17
Bacau, Anul 2005, Numar, 21
Bacau, Anul 2006, Numar, 21
Bacau, Anul 2007, Numar, 22
Bacau, Anul 2008, Numar, 20
Bacau, Anul 2009, Numar, 20
Bacau, Anul 2010, Numar, 20
Bacau, Anul 2011, Numar, 20
Bacau, Anul 2012, Numar, 20
Bacau, Anul 2013, Numar, 25
Bacau, Anul 2014, Numar, 25
Bacau, Anul 2015, Numar, 25
Bacau, Anul 2016, Numar, 25
Bacau, Anul 2017, Numar, 26
Botosani, Anul 1990, Numar, 12
Botosani, Anul 1991, Numar, 12
Botosani, Anul 1992, Numar, 12
Botosani, Anul 1993, Numar, 12
Botosani, Anul 1994, Numar, 12
Botosani, Anul 1995, Numar, 12
Botosani, Anul 1996, Numar, 12
Botosani, Anul 1997, Numar, 12
Botosani, Anul 1998, Numar, 13
Botosani, Anul 1999, Numar, 13
Botosani, Anul 2000, Numar, 12
Botosani, Anul 2001, Numar, 12
Botosani, Anul 2002, Numar, 12
Botosani, Anul 2003, Numar, 12
Botosani, Anul 2004, Numar, 12
Botosani, Anul 2005, Numar, 11
Botosani, Anul 2006, Numar, 11
Botosani, Anul 2007, Numar, 11
Botosani, Anul 2008, Numar, 12
Botosani, Anul 2009, Numar, 12
