Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 747608
Total, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 730984
Total, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 723235
Total, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 707377
Total, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 686369
Total, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 675031
Total, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 658410
Total, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 664538
Total, Total, Regiunea NORD-EST, Anul 2015, Numar persoane, 644768
Total, Total, Regiunea NORD-EST, Anul 2016, Numar persoane, 632429
Total, Total, Regiunea NORD-EST, Anul 2017, Numar persoane, 622986
Total, Total, Bacau, Anul 1995, Numar persoane, 157600
Total, Total, Bacau, Anul 1996, Numar persoane, 157347
Total, Total, Bacau, Anul 1997, Numar persoane, 154764
Total, Total, Bacau, Anul 1998, Numar persoane, 155122
Total, Total, Bacau, Anul 1999, Numar persoane, 152625
Total, Total, Bacau, Anul 2000, Numar persoane, 151554
Total, Total, Bacau, Anul 2001, Numar persoane, 150681
Total, Total, Bacau, Anul 2002, Numar persoane, 148503
Total, Total, Bacau, Anul 2003, Numar persoane, 146281
Total, Total, Bacau, Anul 2004, Numar persoane, 141636
Total, Total, Bacau, Anul 2005, Numar persoane, 137697
Total, Total, Bacau, Anul 2006, Numar persoane, 134218
Total, Total, Bacau, Anul 2007, Numar persoane, 130645
Total, Total, Bacau, Anul 2008, Numar persoane, 126206
Total, Total, Bacau, Anul 2009, Numar persoane, 124286
Total, Total, Bacau, Anul 2010, Numar persoane, 120063
Total, Total, Bacau, Anul 2011, Numar persoane, 114971
