Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, MACROREGIUNEA DOI, Anul 1993, Numar, 59
Total, MACROREGIUNEA DOI, Anul 1994, Numar, 58
Total, MACROREGIUNEA DOI, Anul 1995, Numar, 82
Total, MACROREGIUNEA DOI, Anul 1996, Numar, 89
Total, MACROREGIUNEA DOI, Anul 1997, Numar, 100
Total, MACROREGIUNEA DOI, Anul 1998, Numar, 105
Total, MACROREGIUNEA DOI, Anul 1999, Numar, 124
Total, MACROREGIUNEA DOI, Anul 2000, Numar, 142
Total, MACROREGIUNEA DOI, Anul 2001, Numar, 145
Total, MACROREGIUNEA DOI, Anul 2002, Numar, 149
Total, MACROREGIUNEA DOI, Anul 2003, Numar, 150
Total, MACROREGIUNEA DOI, Anul 2004, Numar, 149
Total, MACROREGIUNEA DOI, Anul 2005, Numar, 158
Total, MACROREGIUNEA DOI, Anul 2006, Numar, 152
Total, MACROREGIUNEA DOI, Anul 2007, Numar, 126
Total, MACROREGIUNEA DOI, Anul 2008, Numar, 126
Total, MACROREGIUNEA DOI, Anul 2009, Numar, 128
Total, MACROREGIUNEA DOI, Anul 2010, Numar, 128
Total, MACROREGIUNEA DOI, Anul 2011, Numar, 128
Total, MACROREGIUNEA DOI, Anul 2012, Numar, 125
Total, MACROREGIUNEA DOI, Anul 2013, Numar, 123
Total, MACROREGIUNEA DOI, Anul 2014, Numar, 121
Total, MACROREGIUNEA DOI, Anul 2015, Numar, 115
Total, MACROREGIUNEA DOI, Anul 2016, Numar, 116
Total, MACROREGIUNEA DOI, Anul 2017, Numar, 114
Total, Regiunea NORD-EST, Anul 1990, Numar, 36
Total, Regiunea NORD-EST, Anul 1991, Numar, 44
Total, Regiunea NORD-EST, Anul 1992, Numar, 44
Total, Regiunea NORD-EST, Anul 1993, Numar, 42
Total, Regiunea NORD-EST, Anul 1994, Numar, 41
Total, Regiunea NORD-EST, Anul 1995, Numar, 56
Total, Regiunea NORD-EST, Anul 1996, Numar, 58
Total, Regiunea NORD-EST, Anul 1997, Numar, 61
Total, Regiunea NORD-EST, Anul 1998, Numar, 64
Total, Regiunea NORD-EST, Anul 1999, Numar, 78
Total, Regiunea NORD-EST, Anul 2000, Numar, 92
Total, Regiunea NORD-EST, Anul 2001, Numar, 90
Total, Regiunea NORD-EST, Anul 2002, Numar, 92
Total, Regiunea NORD-EST, Anul 2003, Numar, 92
Total, Regiunea NORD-EST, Anul 2004, Numar, 89
Total, Regiunea NORD-EST, Anul 2005, Numar, 92
Total, Regiunea NORD-EST, Anul 2006, Numar, 87
Total, Regiunea NORD-EST, Anul 2007, Numar, 72
Total, Regiunea NORD-EST, Anul 2008, Numar, 73
Total, Regiunea NORD-EST, Anul 2009, Numar, 75
Total, Regiunea NORD-EST, Anul 2010, Numar, 74
Total, Regiunea NORD-EST, Anul 2011, Numar, 75
Total, Regiunea NORD-EST, Anul 2012, Numar, 72
Total, Regiunea NORD-EST, Anul 2013, Numar, 70
Total, Regiunea NORD-EST, Anul 2014, Numar, 69
Total, Regiunea NORD-EST, Anul 2015, Numar, 65
Total, Regiunea NORD-EST, Anul 2016, Numar, 66
Total, Regiunea NORD-EST, Anul 2017, Numar, 64
Total, Bacau, Anul 1990, Numar, 2
Total, Bacau, Anul 1991, Numar, 2
Total, Bacau, Anul 1992, Numar, 2
Total, Bacau, Anul 1993, Numar, 2
Total, Bacau, Anul 1994, Numar, 2
Total, Bacau, Anul 1995, Numar, 3
Total, Bacau, Anul 1996, Numar, 4
Total, Bacau, Anul 1997, Numar, 4
Total, Bacau, Anul 1998, Numar, 4
Total, Bacau, Anul 1999, Numar, 5
Total, Bacau, Anul 2000, Numar, 10
Total, Bacau, Anul 2001, Numar, 10
Total, Bacau, Anul 2002, Numar, 8
Total, Bacau, Anul 2003, Numar, 8
Total, Bacau, Anul 2004, Numar, 8
Total, Bacau, Anul 2005, Numar, 8
Total, Bacau, Anul 2006, Numar, 9
