Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, Regiunea NORD-EST, Anul 2000, Numar, 4238
Total, Total, Regiunea NORD-EST, Anul 2001, Numar, 4239
Total, Total, Regiunea NORD-EST, Anul 2002, Numar, 4174
Total, Total, Regiunea NORD-EST, Anul 2003, Numar, 3286
Total, Total, Regiunea NORD-EST, Anul 2004, Numar, 2558
Total, Total, Regiunea NORD-EST, Anul 2005, Numar, 1664
Total, Total, Regiunea NORD-EST, Anul 2006, Numar, 1360
Total, Total, Regiunea NORD-EST, Anul 2007, Numar, 1334
Total, Total, Regiunea NORD-EST, Anul 2008, Numar, 1338
Total, Total, Regiunea NORD-EST, Anul 2009, Numar, 1345
Total, Total, Regiunea NORD-EST, Anul 2010, Numar, 1243
Total, Total, Regiunea NORD-EST, Anul 2011, Numar, 1159
Total, Total, Regiunea NORD-EST, Anul 2012, Numar, 1093
Total, Total, Regiunea NORD-EST, Anul 2013, Numar, 1113
Total, Total, Regiunea NORD-EST, Anul 2014, Numar, 1132
Total, Total, Regiunea NORD-EST, Anul 2015, Numar, 1130
Total, Total, Regiunea NORD-EST, Anul 2016, Numar, 1104
Total, Total, Regiunea NORD-EST, Anul 2017, Numar, 1100
Total, Total, Bacau, Anul 1996, Numar, 1176
Total, Total, Bacau, Anul 1997, Numar, 1113
Total, Total, Bacau, Anul 1998, Numar, 1137
Total, Total, Bacau, Anul 1999, Numar, 1083
Total, Total, Bacau, Anul 2000, Numar, 672
Total, Total, Bacau, Anul 2001, Numar, 680
Total, Total, Bacau, Anul 2002, Numar, 666
Total, Total, Bacau, Anul 2003, Numar, 394
Total, Total, Bacau, Anul 2004, Numar, 392
Total, Total, Bacau, Anul 2005, Numar, 392
Total, Total, Bacau, Anul 2006, Numar, 308
Total, Total, Bacau, Anul 2007, Numar, 284
Total, Total, Bacau, Anul 2008, Numar, 282
Total, Total, Bacau, Anul 2009, Numar, 270
Total, Total, Bacau, Anul 2010, Numar, 217
Total, Total, Bacau, Anul 2011, Numar, 206
Total, Total, Bacau, Anul 2012, Numar, 187
Total, Total, Bacau, Anul 2013, Numar, 187
Total, Total, Bacau, Anul 2014, Numar, 184
Total, Total, Bacau, Anul 2015, Numar, 184
Total, Total, Bacau, Anul 2016, Numar, 184
Total, Total, Bacau, Anul 2017, Numar, 186
Total, Total, Botosani, Anul 1996, Numar, 819
Total, Total, Botosani, Anul 1997, Numar, 802
Total, Total, Botosani, Anul 1998, Numar, 793
Total, Total, Botosani, Anul 1999, Numar, 766
Total, Total, Botosani, Anul 2000, Numar, 761
