Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Botosani, Anul 2010, Numar, 4887
Botosani, Anul 2011, Numar, 5221
Botosani, Anul 2012, Numar, 5159
Botosani, Anul 2013, Numar, 5317
Botosani, Anul 2014, Numar, 7844
Botosani, Anul 2015, Numar, 5645
Botosani, Anul 2016, Numar, 5982
Iasi, Anul 1990, Numar, 3000
Iasi, Anul 1991, Numar, 4034
Iasi, Anul 1992, Numar, 4351
Iasi, Anul 1993, Numar, 7194
Iasi, Anul 1994, Numar, 8914
Iasi, Anul 1995, Numar, 14658
Iasi, Anul 1996, Numar, 13056
Iasi, Anul 1997, Numar, 12892
Iasi, Anul 1998, Numar, 13564
Iasi, Anul 1999, Numar, 11122
Iasi, Anul 2000, Numar, 11143
Iasi, Anul 2001, Numar, 10862
Iasi, Anul 2002, Numar, 10097
Iasi, Anul 2003, Numar, 9127
Iasi, Anul 2004, Numar, 8107
Iasi, Anul 2005, Numar, 6831
Iasi, Anul 2006, Numar, 8028
Iasi, Anul 2007, Numar, 9916
Iasi, Anul 2008, Numar, 9474
Iasi, Anul 2009, Numar, 8912
Iasi, Anul 2010, Numar, 8982
Iasi, Anul 2011, Numar, 7577
Iasi, Anul 2012, Numar, 10964
Iasi, Anul 2013, Numar, 10868
Iasi, Anul 2014, Numar, 16936
Iasi, Anul 2015, Numar, 12766
Iasi, Anul 2016, Numar, 14217
Neamt, Anul 1990, Numar, 1933
Neamt, Anul 1991, Numar, 2440
Neamt, Anul 1992, Numar, 2708
Neamt, Anul 1993, Numar, 3603
Neamt, Anul 1994, Numar, 3813
Neamt, Anul 1995, Numar, 5303
Neamt, Anul 1996, Numar, 5390
Neamt, Anul 1997, Numar, 6747
Neamt, Anul 1998, Numar, 7317
Neamt, Anul 1999, Numar, 6948
Neamt, Anul 2000, Numar, 6456
Neamt, Anul 2001, Numar, 6427
Neamt, Anul 2002, Numar, 6935
Neamt, Anul 2003, Numar, 8056
Neamt, Anul 2004, Numar, 7296
Neamt, Anul 2005, Numar, 8063
Neamt, Anul 2006, Numar, 6932
Neamt, Anul 2007, Numar, 7867
Neamt, Anul 2008, Numar, 7932
Neamt, Anul 2009, Numar, 7164
Neamt, Anul 2010, Numar, 6314
Neamt, Anul 2011, Numar, 5615
Neamt, Anul 2012, Numar, 7706
Neamt, Anul 2013, Numar, 8274
Neamt, Anul 2014, Numar, 7037
Neamt, Anul 2015, Numar, 6635
Neamt, Anul 2016, Numar, 7539
Suceava, Anul 1990, Numar, 1608
Suceava, Anul 1991, Numar, 2402
Suceava, Anul 1992, Numar, 3034
Suceava, Anul 1993, Numar, 5344
Suceava, Anul 1994, Numar, 6064
Suceava, Anul 1995, Numar, 8480
Suceava, Anul 1996, Numar, 10884
Suceava, Anul 1997, Numar, 11721
Suceava, Anul 1998, Numar, 12344
Suceava, Anul 1999, Numar, 11312
Suceava, Anul 2000, Numar, 11181
Suceava, Anul 2001, Numar, 10440
Suceava, Anul 2002, Numar, 9499
Suceava, Anul 2003, Numar, 9087
Suceava, Anul 2004, Numar, 8738
Suceava, Anul 2005, Numar, 8131
Suceava, Anul 2006, Numar, 7971
Suceava, Anul 2007, Numar, 8105
Suceava, Anul 2008, Numar, 8232
Suceava, Anul 2009, Numar, 8202
Suceava, Anul 2010, Numar, 7523
Suceava, Anul 2011, Numar, 8350
Suceava, Anul 2012, Numar, 9341
Suceava, Anul 2013, Numar, 8074
Suceava, Anul 2014, Numar, 9422
Suceava, Anul 2015, Numar, 9547
Suceava, Anul 2016, Numar, 8970
Vaslui, Anul 1990, Numar, 2112
Vaslui, Anul 1991, Numar, 2869
Vaslui, Anul 1992, Numar, 2966
Vaslui, Anul 1993, Numar, 4741
