Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar de persoane condamnate definitiv la 100000 locuitori, Valoare
Bacau, Anul 2000, Numar, 311
Bacau, Anul 2001, Numar, 434
Bacau, Anul 2002, Numar, 568
Bacau, Anul 2003, Numar, 481
Bacau, Anul 2004, Numar, 436
Bacau, Anul 2005, Numar, 362
Bacau, Anul 2006, Numar, 321
Bacau, Anul 2007, Numar, 298
Bacau, Anul 2008, Numar, 212
Bacau, Anul 2009, Numar, 196
Bacau, Anul 2010, Numar, 234
Bacau, Anul 2011, Numar, 129
Bacau, Anul 2012, Numar, 279
Bacau, Anul 2013, Numar, 363
Bacau, Anul 2014, Numar, 316
Bacau, Anul 2015, Numar, 294
Bacau, Anul 2016, Numar, 211
Botosani, Anul 1990, Numar, 140
Botosani, Anul 1991, Numar, 186
Botosani, Anul 1992, Numar, 245
Botosani, Anul 1993, Numar, 344
Botosani, Anul 1994, Numar, 468
Botosani, Anul 1995, Numar, 576
Botosani, Anul 1996, Numar, 499
Botosani, Anul 1997, Numar, 521
Botosani, Anul 1998, Numar, 523
Botosani, Anul 1999, Numar, 265
Botosani, Anul 2000, Numar, 305
Botosani, Anul 2001, Numar, 304
Botosani, Anul 2002, Numar, 291
Botosani, Anul 2003, Numar, 330
Botosani, Anul 2004, Numar, 290
Botosani, Anul 2005, Numar, 434
Botosani, Anul 2006, Numar, 373
Botosani, Anul 2007, Numar, 274
Botosani, Anul 2008, Numar, 206
Botosani, Anul 2009, Numar, 171
Botosani, Anul 2010, Numar, 219
Botosani, Anul 2011, Numar, 272
Botosani, Anul 2012, Numar, 237
Botosani, Anul 2013, Numar, 180
Botosani, Anul 2014, Numar, 157
Botosani, Anul 2015, Numar, 256
Botosani, Anul 2016, Numar, 243
Iasi, Anul 1990, Numar, 143
Iasi, Anul 1991, Numar, 230
Iasi, Anul 1992, Numar, 266
Iasi, Anul 1993, Numar, 297
Iasi, Anul 1994, Numar, 399
Iasi, Anul 1995, Numar, 415
Iasi, Anul 1996, Numar, 427
Iasi, Anul 1997, Numar, 468
