Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
MACROREGIUNEA DOI, Anul 1993, Numar persoane, 26052
MACROREGIUNEA DOI, Anul 1994, Numar persoane, 28297
MACROREGIUNEA DOI, Anul 1995, Numar persoane, 30820
MACROREGIUNEA DOI, Anul 1996, Numar persoane, 32402
MACROREGIUNEA DOI, Anul 1997, Numar persoane, 36996
MACROREGIUNEA DOI, Anul 1998, Numar persoane, 36137
MACROREGIUNEA DOI, Anul 1999, Numar persoane, 28607
MACROREGIUNEA DOI, Anul 2000, Numar persoane, 25129
MACROREGIUNEA DOI, Anul 2001, Numar persoane, 27018
MACROREGIUNEA DOI, Anul 2002, Numar persoane, 28191
MACROREGIUNEA DOI, Anul 2003, Numar persoane, 26532
MACROREGIUNEA DOI, Anul 2004, Numar persoane, 24029
MACROREGIUNEA DOI, Anul 2005, Numar persoane, 22667
MACROREGIUNEA DOI, Anul 2006, Numar persoane, 19850
MACROREGIUNEA DOI, Anul 2007, Numar persoane, 17669
MACROREGIUNEA DOI, Anul 2008, Numar persoane, 13000
MACROREGIUNEA DOI, Anul 2009, Numar persoane, 12561
MACROREGIUNEA DOI, Anul 2010, Numar persoane, 14160
MACROREGIUNEA DOI, Anul 2011, Numar persoane, 14805
MACROREGIUNEA DOI, Anul 2012, Numar persoane, 15802
MACROREGIUNEA DOI, Anul 2013, Numar persoane, 15291
MACROREGIUNEA DOI, Anul 2014, Numar persoane, 13247
MACROREGIUNEA DOI, Anul 2015, Numar persoane, 12487
MACROREGIUNEA DOI, Anul 2016, Numar persoane, 9606
Regiunea NORD-EST, Anul 1990, Numar persoane, 6060
Regiunea NORD-EST, Anul 1991, Numar persoane, 10103
Regiunea NORD-EST, Anul 1992, Numar persoane, 11093
Regiunea NORD-EST, Anul 1993, Numar persoane, 13889
Regiunea NORD-EST, Anul 1994, Numar persoane, 15627
Regiunea NORD-EST, Anul 1995, Numar persoane, 17352
Regiunea NORD-EST, Anul 1996, Numar persoane, 18184
Regiunea NORD-EST, Anul 1997, Numar persoane, 19180
Regiunea NORD-EST, Anul 1998, Numar persoane, 20314
Regiunea NORD-EST, Anul 1999, Numar persoane, 15696
Regiunea NORD-EST, Anul 2000, Numar persoane, 14384
Regiunea NORD-EST, Anul 2001, Numar persoane, 15226
Regiunea NORD-EST, Anul 2002, Numar persoane, 16056
Regiunea NORD-EST, Anul 2003, Numar persoane, 15027
Regiunea NORD-EST, Anul 2004, Numar persoane, 14270
Regiunea NORD-EST, Anul 2005, Numar persoane, 13681
Regiunea NORD-EST, Anul 2006, Numar persoane, 12115
Regiunea NORD-EST, Anul 2007, Numar persoane, 9919
Regiunea NORD-EST, Anul 2008, Numar persoane, 7353
Regiunea NORD-EST, Anul 2009, Numar persoane, 6844
Regiunea NORD-EST, Anul 2010, Numar persoane, 7974
Regiunea NORD-EST, Anul 2011, Numar persoane, 7161
Regiunea NORD-EST, Anul 2012, Numar persoane, 8037
Regiunea NORD-EST, Anul 2013, Numar persoane, 7998
Regiunea NORD-EST, Anul 2014, Numar persoane, 6929
Regiunea NORD-EST, Anul 2015, Numar persoane, 6821
Regiunea NORD-EST, Anul 2016, Numar persoane, 5341
Bacau, Anul 1990, Numar persoane, 1438
Bacau, Anul 1991, Numar persoane, 2234
Bacau, Anul 1992, Numar persoane, 2644
Bacau, Anul 1993, Numar persoane, 3203
Bacau, Anul 1994, Numar persoane, 3446
Bacau, Anul 1995, Numar persoane, 4169
Bacau, Anul 1996, Numar persoane, 3854
Bacau, Anul 1997, Numar persoane, 4258
Bacau, Anul 1998, Numar persoane, 4423
Bacau, Anul 1999, Numar persoane, 3059
Bacau, Anul 2000, Numar persoane, 2341
Bacau, Anul 2001, Numar persoane, 3273
Bacau, Anul 2002, Numar persoane, 4130
Bacau, Anul 2003, Numar persoane, 3488
Bacau, Anul 2004, Numar persoane, 3155
Bacau, Anul 2005, Numar persoane, 2618
Bacau, Anul 2006, Numar persoane, 2318
Bacau, Anul 2007, Numar persoane, 2143
Bacau, Anul 2008, Numar persoane, 1524
Bacau, Anul 2009, Numar persoane, 1406
Bacau, Anul 2010, Numar persoane, 1674
Bacau, Anul 2011, Numar persoane, 919
Bacau, Anul 2012, Numar persoane, 1707
Bacau, Anul 2013, Numar persoane, 2208
Bacau, Anul 2014, Numar persoane, 1913
Bacau, Anul 2015, Numar persoane, 1769
Bacau, Anul 2016, Numar persoane, 1261
Botosani, Anul 1990, Numar persoane, 652
Botosani, Anul 1991, Numar persoane, 873
Botosani, Anul 1992, Numar persoane, 1136
Botosani, Anul 1993, Numar persoane, 1594
Botosani, Anul 1994, Numar persoane, 2163
Botosani, Anul 1995, Numar persoane, 2664
Botosani, Anul 1996, Numar persoane, 2306
Botosani, Anul 1997, Numar persoane, 2395
Botosani, Anul 1998, Numar persoane, 2415
Botosani, Anul 1999, Numar persoane, 1225
Botosani, Anul 2000, Numar persoane, 1413
Botosani, Anul 2001, Numar persoane, 1413
Botosani, Anul 2002, Numar persoane, 1346
Botosani, Anul 2003, Numar persoane, 1519
Botosani, Anul 2004, Numar persoane, 1330
Botosani, Anul 2005, Numar persoane, 1996
Botosani, Anul 2006, Numar persoane, 1703
Botosani, Anul 2007, Numar persoane, 1244
Botosani, Anul 2008, Numar persoane, 928
Botosani, Anul 2009, Numar persoane, 768
Botosani, Anul 2010, Numar persoane, 979
Botosani, Anul 2011, Numar persoane, 1210
Botosani, Anul 2012, Numar persoane, 967
Botosani, Anul 2013, Numar persoane, 727
