Numarul mediu lunar de beneficiari si sume platite, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar  Lei, Valoare
Numarul mediu lunar de beneficiari - total, Giurgiu, Anul 2015, Numar, 6369
Numarul mediu lunar de beneficiari - total, Giurgiu, Anul 2016, Numar, 6244
Numarul mediu lunar de beneficiari - total, Giurgiu, Anul 2017, Numar, 5745
Numarul mediu lunar de beneficiari - total, Ialomita, Anul 2011, Numar, 6318
Numarul mediu lunar de beneficiari - total, Ialomita, Anul 2012, Numar, 5365
Numarul mediu lunar de beneficiari - total, Ialomita, Anul 2013, Numar, 4404
Numarul mediu lunar de beneficiari - total, Ialomita, Anul 2014, Numar, 4248
Numarul mediu lunar de beneficiari - total, Ialomita, Anul 2015, Numar, 5059
Numarul mediu lunar de beneficiari - total, Ialomita, Anul 2016, Numar, 5233
Numarul mediu lunar de beneficiari - total, Ialomita, Anul 2017, Numar, 5018
Numarul mediu lunar de beneficiari - total, Prahova, Anul 2011, Numar, 10699
Numarul mediu lunar de beneficiari - total, Prahova, Anul 2012, Numar, 9220
Numarul mediu lunar de beneficiari - total, Prahova, Anul 2013, Numar, 7614
Numarul mediu lunar de beneficiari - total, Prahova, Anul 2014, Numar, 7221
Numarul mediu lunar de beneficiari - total, Prahova, Anul 2015, Numar, 8659
Numarul mediu lunar de beneficiari - total, Prahova, Anul 2016, Numar, 8182
Numarul mediu lunar de beneficiari - total, Prahova, Anul 2017, Numar, 6989
Numarul mediu lunar de beneficiari - total, Teleorman, Anul 2011, Numar, 8552
Numarul mediu lunar de beneficiari - total, Teleorman, Anul 2012, Numar, 7228
Numarul mediu lunar de beneficiari - total, Teleorman, Anul 2013, Numar, 7256
Numarul mediu lunar de beneficiari - total, Teleorman, Anul 2014, Numar, 7580
Numarul mediu lunar de beneficiari - total, Teleorman, Anul 2015, Numar, 8899
Numarul mediu lunar de beneficiari - total, Teleorman, Anul 2016, Numar, 8868
Numarul mediu lunar de beneficiari - total, Teleorman, Anul 2017, Numar, 8460
Numarul mediu lunar de beneficiari - total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar, 3033
Numarul mediu lunar de beneficiari - total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar, 2440
Numarul mediu lunar de beneficiari - total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar, 1982
Numarul mediu lunar de beneficiari - total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar, 1753
Numarul mediu lunar de beneficiari - total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar, 2228
Numarul mediu lunar de beneficiari - total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar, 2181
Numarul mediu lunar de beneficiari - total, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar, 2135
Numarul mediu lunar de beneficiari - total, Ilfov, Anul 2011, Numar, 1991
Numarul mediu lunar de beneficiari - total, Ilfov, Anul 2012, Numar, 1894
Numarul mediu lunar de beneficiari - total, Ilfov, Anul 2013, Numar, 1588
Numarul mediu lunar de beneficiari - total, Ilfov, Anul 2014, Numar, 1373
Numarul mediu lunar de beneficiari - total, Ilfov, Anul 2015, Numar, 1759
Numarul mediu lunar de beneficiari - total, Ilfov, Anul 2016, Numar, 1765
Numarul mediu lunar de beneficiari - total, Ilfov, Anul 2017, Numar, 1760
Numarul mediu lunar de beneficiari - total, Municipiul Bucuresti, Anul 2011, Numar, 1042
Numarul mediu lunar de beneficiari - total, Municipiul Bucuresti, Anul 2012, Numar, 546
Numarul mediu lunar de beneficiari - total, Municipiul Bucuresti, Anul 2013, Numar, 394
Numarul mediu lunar de beneficiari - total, Municipiul Bucuresti, Anul 2014, Numar, 380
Numarul mediu lunar de beneficiari - total, Municipiul Bucuresti, Anul 2015, Numar, 469
Numarul mediu lunar de beneficiari - total, Municipiul Bucuresti, Anul 2016, Numar, 416
Numarul mediu lunar de beneficiari - total, Municipiul Bucuresti, Anul 2017, Numar, 375
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA PATRU, Anul 2011, Numar, 56946
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA PATRU, Anul 2012, Numar, 54388
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA PATRU, Anul 2013, Numar, 47411
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA PATRU, Anul 2014, Numar, 44299
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA PATRU, Anul 2015, Numar, 49478
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA PATRU, Anul 2016, Numar, 47901
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA PATRU, Anul 2017, Numar, 43858
Numarul mediu lunar de beneficiari - total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar, 44750
Numarul mediu lunar de beneficiari - total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar, 43881
Numarul mediu lunar de beneficiari - total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar, 37916
Numarul mediu lunar de beneficiari - total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar, 35073
Numarul mediu lunar de beneficiari - total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar, 39006
Numarul mediu lunar de beneficiari - total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar, 37942
Numarul mediu lunar de beneficiari - total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar, 34329
Numarul mediu lunar de beneficiari - total, Dolj, Anul 2011, Numar, 13174
Numarul mediu lunar de beneficiari - total, Dolj, Anul 2012, Numar, 12928
Numarul mediu lunar de beneficiari - total, Dolj, Anul 2013, Numar, 11733
Numarul mediu lunar de beneficiari - total, Dolj, Anul 2014, Numar, 10294
Numarul mediu lunar de beneficiari - total, Dolj, Anul 2015, Numar, 11501
Numarul mediu lunar de beneficiari - total, Dolj, Anul 2016, Numar, 11671
Numarul mediu lunar de beneficiari - total, Dolj, Anul 2017, Numar, 11206
