Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Teleorman, Anul 2017, Numar persoane, 111027
Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 1727078
Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 1772364
Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 1792012
Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 1799149
Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 1819794
Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 1849899
Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 1862414
Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 1877158
Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 1880278
Regiunea BUCURESTI - ILFOV, Anul 2017, Numar persoane, 1914625
Ilfov, Anul 2008, Numar persoane, 27078
Ilfov, Anul 2009, Numar persoane, 52364
Ilfov, Anul 2010, Numar persoane, 62003
Ilfov, Anul 2011, Numar persoane, 67755
Ilfov, Anul 2012, Numar persoane, 67261
Ilfov, Anul 2013, Numar persoane, 115128
Ilfov, Anul 2014, Numar persoane, 137839
Ilfov, Anul 2015, Numar persoane, 147116
Ilfov, Anul 2016, Numar persoane, 141308
Ilfov, Anul 2017, Numar persoane, 160854
Municipiul Bucuresti, Anul 2008, Numar persoane, 1700000
Municipiul Bucuresti, Anul 2009, Numar persoane, 1720000
Municipiul Bucuresti, Anul 2010, Numar persoane, 1730009
Municipiul Bucuresti, Anul 2011, Numar persoane, 1731394
Municipiul Bucuresti, Anul 2012, Numar persoane, 1752533
Municipiul Bucuresti, Anul 2013, Numar persoane, 1734771
Municipiul Bucuresti, Anul 2014, Numar persoane, 1724575
Municipiul Bucuresti, Anul 2015, Numar persoane, 1730042
Municipiul Bucuresti, Anul 2016, Numar persoane, 1738970
Municipiul Bucuresti, Anul 2017, Numar persoane, 1753771
MACROREGIUNEA PATRU, Anul 2008, Numar persoane, 2074951
MACROREGIUNEA PATRU, Anul 2009, Numar persoane, 2193795
MACROREGIUNEA PATRU, Anul 2010, Numar persoane, 2228325
MACROREGIUNEA PATRU, Anul 2011, Numar persoane, 2235349
MACROREGIUNEA PATRU, Anul 2012, Numar persoane, 2234295
MACROREGIUNEA PATRU, Anul 2013, Numar persoane, 2253274
MACROREGIUNEA PATRU, Anul 2014, Numar persoane, 2231830
MACROREGIUNEA PATRU, Anul 2015, Numar persoane, 2278351
MACROREGIUNEA PATRU, Anul 2016, Numar persoane, 2377412
MACROREGIUNEA PATRU, Anul 2017, Numar persoane, 2471334
Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 924059
Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 992763
Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 993091
Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 993519
Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 994474
Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 1027364
Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 1005990
Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 1005741
Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 1065988
Regiunea SUD-VEST OLTENIA, Anul 2017, Numar persoane, 1091381
Dolj, Anul 2008, Numar persoane, 334932
Dolj, Anul 2009, Numar persoane, 334230
Dolj, Anul 2010, Numar persoane, 334601
Dolj, Anul 2011, Numar persoane, 333373
Dolj, Anul 2012, Numar persoane, 307489
Dolj, Anul 2013, Numar persoane, 332332
Dolj, Anul 2014, Numar persoane, 308175
Dolj, Anul 2015, Numar persoane, 310003
Dolj, Anul 2016, Numar persoane, 311468
Dolj, Anul 2017, Numar persoane, 314760
Gorj, Anul 2008, Numar persoane, 133891
Gorj, Anul 2009, Numar persoane, 179484
Gorj, Anul 2010, Numar persoane, 176846
Gorj, Anul 2011, Numar persoane, 180043
Gorj, Anul 2012, Numar persoane, 193730
Gorj, Anul 2013, Numar persoane, 197210
Gorj, Anul 2014, Numar persoane, 198111
Gorj, Anul 2015, Numar persoane, 200855
Gorj, Anul 2016, Numar persoane, 199531
Gorj, Anul 2017, Numar persoane, 196211
Mehedinti, Anul 2008, Numar persoane, 128424
Mehedinti, Anul 2009, Numar persoane, 149736
Mehedinti, Anul 2010, Numar persoane, 152131
Mehedinti, Anul 2011, Numar persoane, 145383
Mehedinti, Anul 2012, Numar persoane, 160237
Mehedinti, Anul 2013, Numar persoane, 138538
Mehedinti, Anul 2014, Numar persoane, 138174
Mehedinti, Anul 2015, Numar persoane, 144444
Mehedinti, Anul 2016, Numar persoane, 170912
Mehedinti, Anul 2017, Numar persoane, 162664
Olt, Anul 2008, Numar persoane, 148372
Olt, Anul 2009, Numar persoane, 148932
Olt, Anul 2010, Numar persoane, 149267
Olt, Anul 2011, Numar persoane, 153662
Olt, Anul 2012, Numar persoane, 152710
Olt, Anul 2013, Numar persoane, 151085
Olt, Anul 2014, Numar persoane, 153487
Olt, Anul 2015, Numar persoane, 153561
Olt, Anul 2016, Numar persoane, 179253
Olt, Anul 2017, Numar persoane, 179570
Valcea, Anul 2008, Numar persoane, 178440
Valcea, Anul 2009, Numar persoane, 180381
Valcea, Anul 2010, Numar persoane, 180246
Valcea, Anul 2011, Numar persoane, 181058
Valcea, Anul 2012, Numar persoane, 180308
Valcea, Anul 2013, Numar persoane, 208199
Valcea, Anul 2014, Numar persoane, 208043
Valcea, Anul 2015, Numar persoane, 196878
Valcea, Anul 2016, Numar persoane, 204824
